date,product,region,quantity,unit_price,customer_email
2024-06-15,WIRELESS MOUSE,,,49.99,customer34@example.com
2024/03/20,Keyboard,East,1.0,99.99,customer21@example.com
2024-06-15,Keyboard,West,2.0,49.99,customer13@example.com
2024-06-15,Laptop Pro,,2.0,99.99,customer47@example.com
2024/03/20,Wireless Mouse,West,3.0,99.99,customer7@example.com
"Jan 15, 2024",monitor 24 inch,North,10.0,29.99,customer20@example.com
"Jan 15, 2024",Docking Station,,1.0,29.99,customer5@example.com
2024-06-15,"Monitor 24""",Central,0.0,199.99,customer3@example.com
"Jan 15, 2024",USB-C Cable,West,2.0,99.99,customer45@example.com
2024/03/20,Docking Station,West,1.0,,customer14@example.com
,Docking Station,Central,1.0,29.99,customer33@example.com
2024-06-15,Keyboard,East,-2.0,29.99,customer12@example.com
2024-06-15,Wireless Mouse,Central,3.0,29.99,
2024/03/20,Laptop Pro,Central,1.0,29.99,customer42@example.com
2024-06-15,Webcam HD,East,1.0,49.99,customer37@example.com
2024-06-15,Docking Station,North,-2.0,0.0,customer23@example.com
2024-06-15,WIRELESS MOUSE,West,1.0,49.99,customer41@example.com
2024-06-15,"Monitor 24""",South,1.0,29.99,customer4@example.com
,WIRELESS MOUSE,West,2.0,29.99,customer11@example.com
2024-06-15,Wireless Mouse,North,2.0,,customer26@example.com
2024-06-15,Laptop Pro,South,3.0,29.99,customer43@example.com
2024-06-15,USB-C Cable,South,1.0,29.99,customer1@example.com
2024-06-15,Keyboard,,1.0,29.99,
2024-06-15,monitor 24 inch,West,1.0,49.99,customer46@example.com
2024-06-15,USB-C Cable,South,1.0,29.99,customer1@example.com
2024-06-15,"Monitor 24""",South,1.0,29.99,customer4@example.com
2024/03/20,Laptop Pro,North,2.0,29.99,customer49@example.com
"Jan 15, 2024",Docking Station,West,-1.0,0.0,customer15@example.com
2024-06-15,Laptop Pro,North,3.0,29.99,customer36@example.com
,USB-C Cable,North,3.0,99.99,customer44@example.com
2024-06-15,"Monitor 24""",,3.0,29.99,
2024-06-15,monitor 24 inch,South,-1.0,,customer9@example.com
2024-06-15,Docking Station,West,1.0,29.99,customer29@example.com
"Jan 15, 2024",monitor 24 inch,North,2.0,49.99,customer30@example.com
,Wireless Mouse,North,3.0,-15.99,customer22@example.com
2024-06-15,laptop pro ,North,1.0,49.99,
2024-06-15,Wireless Mouse,North,5.0,29.99,customer27@example.com
"Jan 15, 2024",laptop pro ,South,2.0,29.99,customer10@example.com
"Jan 15, 2024",monitor 24 inch,West,0.0,99.99,
2024-06-15,Keyboard,Central,2.0,29.99,customer17@example.com
2024-06-15,Webcam HD,,1.0,29.99,customer38@example.com
2024-06-15,Keyboard,East,2.0,49.99,customer39@example.com
2024-06-15,monitor 24 inch,East,5.0,0.0,
"Jan 15, 2024",Webcam HD,West,2.0,,
2024-06-15,Docking Station,West,0.0,29.99,customer6@example.com
2024-06-15,USB-C Cable,Central,3.0,29.99,customer31@example.com
2024-06-15,Keyboard,Central,3.0,99.99,customer2@example.com
"Jan 15, 2024",monitor 24 inch,West,0.0,99.99,
2024-06-15,"Monitor 24""",Central,0.0,199.99,customer3@example.com
"Jan 15, 2024",Keyboard,Central,5.0,99.99,customer25@example.com
2024-06-15,USB-C Cable,South,0.0,99.99,customer18@example.com
"Jan 15, 2024",monitor 24 inch,West,2.0,-15.99,customer35@example.com
2024-06-15,Webcam HD,Central,,29.99,customer19@example.com
2024-06-15,Keyboard,Central,3.0,99.99,customer2@example.com
2024/03/20,monitor 24 inch,East,3.0,49.99,customer28@example.com
